"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",284392,44.4,42135,51.2
"Ja, setting niet vermeld",30487,4.8,241,0.3
"Ja, setting onbekend",1668,0.3,137,0.2
"Nee",208988,32.6,22496,27.3
"Niet vermeld",115078,18,17331,21
