"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",291467,62.3,16083,56.2
"Ja, setting niet vermeld",1743,0.4,154,0.5
"Ja, setting onbekend",556,0.1,32,0.1
"Nee",126582,27.1,5843,20.4
"Niet vermeld",47152,10.1,6516,22.8
