"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",328082,46.4,36991,54.9
"Ja, setting niet vermeld",30704,4.3,203,0.3
"Ja, setting onbekend",1787,0.3,101,0.1
"Nee",228899,32.3,17365,25.8
"Niet vermeld",118361,16.7,12728,18.9
