"Gemeente_Naam";"Municipality_code";"inwoners";"gemeente_getal";"provincie";"volledige.vaccinatie";"incidentie"
"Wijdemeren";"GM1696";24358;288;"Noord-Holland";75;7,03787549998241
"Wijk bij Duurstede";"GM0352";23914;100;"Utrecht";77;8,96068053381761
"Winterswijk";"GM0294";28854;77;"Gelderland";77;17,8237233758132
"Woensdrecht";"GM0873";21876;240;"Noord-Brabant";77;5,87728234464384
"Woerden";"GM0632";52299;181;"Utrecht";75;8,19463906712229
"Wormerland";"GM0880";16270;242;"Noord-Holland";74;7,90236192817631
"Woudenberg";"GM0351";13362;99;"Utrecht";69;12,8295593046379
"Zaanstad";"GM0479";156799;142;"Noord-Holland";65;22,0482455700793
"Zaltbommel";"GM0297";28881;79;"Gelderland";64;13,355295374616
"Zandvoort";"GM0473";17116;141;"Noord-Holland";71;7,51176843721831
"Zeewolde";"GM0050";22654;5;"Flevoland";67;11,350880954483
"Zeist";"GM0355";64905;102;"Utrecht";74;14,5267258740797
"Zevenaar";"GM0299";43751;80;"Gelderland";78;8,81612501918324
"Zoetermeer";"GM0637";125285;182;"Zuid-Holland";71;19,4984007890581
"Zoeterwoude";"GM0638";8605;183;"Zuid-Holland";79;4,98049306881381
"Zuidplas";"GM1892";43885;321;"Zuid-Holland";72;20,1826201598333
"Zundert";"GM0879";21829;241;"Noord-Brabant";79;7,85324895453623
"Zutphen";"GM0301";47934;81;"Gelderland";73;11,9211534908118
"Zwartewaterland";"GM1896";22685;324;"Overijssel";63;5,03794200069272
"Zwijndrecht";"GM0642";44737;184;"Zuid-Holland";68;9,57979812172091
"Zwolle";"GM0193";128843;42;"Overijssel";73;11,863829843852
