12/24/2020,0,,,,0,
12/25/2020,0,,,,0,
12/26/2020,11700,,,,11700,
12/27/2020,11700,,,,11700,
12/28/2020,11700,,,,11700,
12/29/2020,197730,,,,197730,
12/30/2020,197730,,,,197730,
12/31/2020,197730,,,,197730,
1/1/2021,197730,,,,197730,
1/2/2021,197730,,,,197730,
1/3/2021,197730,,,,197730,
1/4/2021,197730,,,,197730,
1/5/2021,346320,,,,346320,
1/6/2021,346320,3835,,,346320,
1/7/2021,346320,3836,,,346320,
1/8/2021,346320,10223,,,346320,
1/9/2021,346320,17998,,,346320,
1/10/2021,346320,25763,,,346320,
1/11/2021,359520,33757,,,359520,
1/12/2021,359520,43349,,,359520,
1/13/2021,544380,50395,,,544380,
1/14/2021,544380,56054,,,544380,
1/15/2021,544380,61709,,,544380,
1/16/2021,544380,67135,,,544380,
1/17/2021,544380,72098,,,544380,
1/18/2021,544380,77062,,,544380,
1/19/2021,544380,90501,,,544380,
1/20/2021,636810,103941,,,636810,
1/21/2021,636810,117379,,,636810,
1/22/2021,636810,130814,,,636810,
1/23/2021,636810,145100,,,636810,
1/24/2021,636810,155923,,,636810,
1/25/2021,636810,166744,,,636810,
1/26/2021,636810,182784,,,636810,
1/27/2021,828690,202298,,,828690,
1/28/2021,828690,228684,,,828690,
1/29/2021,828690,259011,,,828690,
1/30/2021,847890,293476,,,847890,
1/31/2021,847890,324442,,,847890,
2/1/2021,847890,352607,,,847890,
2/2/2021,847890,387079,,,847890,
2/3/2021,1007010,421714,,,1007010,
2/4/2021,1007010,454534,,,1007010,
2/5/2021,1086210,489139,,,1086210,
2/6/2021,1086210,522426,,,1086210,
2/7/2021,1086210,550165,,,1086210,
2/8/2021,1086210,573825,,,1086210,
2/9/2021,1086210,606977,,,1086210,
2/10/2021,1181250,639281,,,1181250,
2/11/2021,1378770,671270,,,1378770,
2/12/2021,1378770,703221,,,1378770,
2/13/2021,1378770,735170,,,1378770,
2/14/2021,1378770,763648,,,1378770,
2/15/2021,1378770,792123,,,1378770,
2/16/2021,1378770,823781,,,1378770,
2/17/2021,1732860,855438,,,1732860,
2/18/2021,1732860,890861,,,1732860,
2/19/2021,1732860,927630,,,1732860,
2/20/2021,1732860,966691,,,1732860,
2/21/2021,1732860,1004821,,,1732860,
2/22/2021,1732860,1042946,,,1732860,
2/23/2021,1732860,1080803,,,1732860,
2/24/2021,1932930,1124546,,,1932930,
2/25/2021,2004930,1175184,,,2004930,
2/26/2021,2004930,1228660,,,2004930,
2/27/2021,2004930,1286637,,,2004930,
2/28/2021,2153320,1339613,,,2153320,
3/1/2021,2153320,1388722,,,2153320,
3/2/2021,2153320,1434055,,,2153320,
3/3/2021,2361580,1480498,,,2361580,
3/4/2021,2361580,1525199,,,2361580,
3/5/2021,2361580,1569345,,,2361580,
3/6/2021,2361580,1611757,,,2361580,
3/7/2021,2578060,1650192,,,2578060,
3/8/2021,2578060,1684629,,,2578060,
3/9/2021,2578060,1725930,,,2578060,
3/10/2021,2796850,1767878,,,2796850,
3/11/2021,2891890,1809881,,,2891890,
3/12/2021,2891890,1851826,,,2891890,
3/13/2021,2891890,1891583,,,2891890,
3/14/2021,2936770,1931334,,,2936770,
3/15/2021,2936770,1971062,,,2936770,
3/16/2021,2936770,2001500,,,2936770,
3/17/2021,3155560,2032139,,,3155560,
3/18/2021,3155560,2063000,,,3155560,
3/19/2021,3155560,2093750,,,3155560,
3/20/2021,3251560,2124163,,,3251560,
3/21/2021,3251560,2154571,,,3251560,
3/22/2021,3251560,2184977,,,3251560,
3/23/2021,3251560,2215454,,,3251560,
3/24/2021,3577990,2249563,,,3577990,
3/25/2021,3622870,2295698,,,3622870,
3/26/2021,3622870,2341770,,,3622870,
3/27/2021,3622870,2389622,,,3622870,
