"dateInTable","dead","cases","hosp","MACases","MAhosp","MAdead","ma_c_lag","ma_c_lead","gf_c","ma_h_lag","ma_h_lead","gf_h","ma_d_lag","ma_d_lead","gf_d"
"2020-03-06",0,40,5,11.4285714285714,1.57142857142857,0,0,30.5714285714286,Inf,0,4.71428571428571,Inf,0,0.428571428571429,NA
"2020-03-07",1,50,7,18.4285714285714,2.42857142857143,0.142857142857143,0,48.5714285714286,Inf,0,5.85714285714286,Inf,0,0.428571428571429,Inf
"2020-03-08",1,32,11,22.5714285714286,4,0.285714285714286,0,64.7142857142857,Inf,0,8.14285714285714,Inf,0,0.571428571428571,Inf
"2020-03-09",1,61,5,30.5714285714286,4.71428571428571,0.428571428571429,0,80.4285714285714,Inf,0,10.8571428571429,Inf,0,0.571428571428571,Inf
"2020-03-10",0,130,9,48.5714285714286,5.85714285714286,0.428571428571429,0,90.8571428571429,Inf,0,13.4285714285714,Inf,0,0.857142857142857,Inf
"2020-03-11",1,123,17,64.7142857142857,8.14285714285714,0.571428571428571,3.42857142857143,115,1787.5,0.571428571428571,16.4285714285714,1325,0,1.28571428571429,Inf
"2020-03-12",0,127,22,80.4285714285714,10.8571428571429,0.571428571428571,5.85714285714286,135.142857142857,1273.2,0.857142857142857,18.2857142857143,1166.7,0,2.14285714285714,Inf
"2020-03-13",2,113,23,90.8571428571429,13.4285714285714,0.857142857142857,11.4285714285714,165,695,1.57142857142857,23.2857142857143,754.5,0,2.57142857142857,Inf
"2020-03-14",4,219,28,115,16.4285714285714,1.28571428571429,18.4285714285714,187.571428571429,524,2.42857142857143,37,576.5,0.142857142857143,5,800
"2020-03-15",7,173,24,135.142857142857,18.2857142857143,2.14285714285714,22.5714285714286,219.571428571429,498.7,4,47.5714285714286,357.1,0.285714285714286,7,650
"2020-03-16",4,270,40,165,23.2857142857143,2.57142857142857,30.5714285714286,258,439.7,4.71428571428571,54.8571428571429,393.9,0.428571428571429,10.2857142857143,500
"2020-03-17",17,288,105,187.571428571429,37,5,48.5714285714286,318,286.2,5.85714285714286,71.7142857142857,531.7,0.428571428571429,14,1066.7
"2020-03-18",15,347,91,219.571428571429,47.5714285714286,7,64.7142857142857,377.714285714286,239.3,8.14285714285714,96.2857142857143,484.2,0.571428571428571,17.7142857142857,1125
"2020-03-19",23,396,73,258,54.8571428571429,10.2857142857143,80.4285714285714,439.428571428571,220.8,10.8571428571429,115.857142857143,405.3,0.571428571428571,23,1700
"2020-03-20",28,533,141,318,71.7142857142857,14,90.8571428571429,479.857142857143,250,13.4285714285714,142.857142857143,434,0.857142857142857,27,1533.3
"2020-03-21",30,637,200,377.714285714286,96.2857142857143,17.7142857142857,115,545.714285714286,228.4,16.4285714285714,162.857142857143,486.1,1.28571428571429,33.4285714285714,1277.8
"2020-03-22",44,605,161,439.428571428571,115.857142857143,23,135.142857142857,616.571428571429,225.2,18.2857142857143,196.285714285714,533.6,2.14285714285714,42.1428571428571,973.3
"2020-03-23",32,553,229,479.857142857143,142.857142857143,27,165,703.857142857143,190.8,23.2857142857143,231.142857142857,513.5,2.57142857142857,49,950
"2020-03-24",62,749,245,545.714285714286,162.857142857143,33.4285714285714,187.571428571429,794.428571428571,190.9,37,259.428571428571,340.2,5,62.4285714285714,568.6
"2020-03-25",76,843,325,616.571428571429,196.285714285714,42.1428571428571,219.571428571429,867.142857142857,180.8,47.5714285714286,296.857142857143,312.6,7,70.8571428571429,502
"2020-03-26",71,1007,317,703.857142857143,231.142857142857,49,258,936.714285714286,172.8,54.8571428571429,346.714285714286,321.4,10.2857142857143,82,376.4
"2020-03-27",122,1167,339,794.428571428571,259.428571428571,62.4285714285714,318,982.571428571429,149.8,71.7142857142857,383.857142857143,261.8,14,89.4285714285714,345.9
"2020-03-28",89,1146,462,867.142857142857,296.857142857143,70.8571428571429,377.714285714286,995,129.6,96.2857142857143,448.142857142857,208.3,17.7142857142857,104.571428571429,300
"2020-03-29",122,1092,510,936.714285714286,346.714285714286,82,439.428571428571,1018.57142857143,113.2,115.857142857143,472.428571428571,199.3,23,112.714285714286,256.5
"2020-03-30",84,874,489,982.571428571429,383.857142857143,89.4285714285714,479.857142857143,1029.42857142857,104.8,142.857142857143,513.142857142857,168.7,27,124.714285714286,231.2
"2020-03-31",168,836,695,995,448.142857142857,104.571428571429,545.714285714286,1008.42857142857,82.3,162.857142857143,536.285714285714,175.2,33.4285714285714,128,212.8
"2020-04-01",133,1008,495,1018.57142857143,472.428571428571,112.714285714286,616.571428571429,987.857142857143,65.2,196.285714285714,522.142857142857,140.7,42.1428571428571,142,167.5
"2020-04-02",155,1083,602,1029.42857142857,513.142857142857,124.714285714286,703.857142857143,988.857142857143,46.3,231.142857142857,482.571428571429,122,49,139.285714285714,154.5
"2020-04-03",145,1020,501,1008.42857142857,536.285714285714,128,794.428571428571,999,26.9,259.428571428571,449.571428571429,106.7,62.4285714285714,140.285714285714,105
"2020-04-04",187,1002,363,987.857142857143,522.142857142857,142,867.142857142857,991.285714285714,13.9,296.857142857143,391,75.9,70.8571428571429,149.285714285714,100.4
"2020-04-05",103,1099,233,988.857142857143,482.571428571429,139.285714285714,936.714285714286,984.285714285714,5.6,346.714285714286,365,39.2,82,152.714285714286,69.9
"2020-04-06",91,945,258,999,449.571428571429,140.285714285714,982.571428571429,1002.14285714286,1.7,383.857142857143,314.714285714286,17.1,89.4285714285714,151,56.9
"2020-04-07",231,782,285,991.285714285714,391,149.285714285714,995,1046,-0.4,448.142857142857,273.285714285714,-12.8,104.571428571429,147.285714285714,42.8
"2020-04-08",157,959,313,984.285714285714,365,152.714285714286,1018.57142857143,1088.71428571429,-3.4,472.428571428571,252,-22.7,112.714285714286,140.857142857143,35.5
"2020-04-09",143,1208,250,1002.14285714286,314.714285714286,151,1029.42857142857,1099,-2.7,513.142857142857,246.428571428571,-38.7,124.714285714286,139.857142857143,21.1
"2020-04-10",119,1327,211,1046,273.285714285714,147.285714285714,1008.42857142857,1101,3.7,536.285714285714,228,-49,128,137.428571428571,15.1
"2020-04-11",142,1301,214,1088.71428571429,252,140.857142857143,987.857142857143,1112.42857142857,10.2,522.142857142857,216.714285714286,-51.7,142,119.714285714286,-0.8
"2020-04-12",96,1171,194,1099,246.428571428571,139.857142857143,988.857142857143,1079.71428571429,11.1,482.571428571429,201.714285714286,-48.9,139.285714285714,126.142857142857,0.4
"2020-04-13",74,959,129,1101,228,137.428571428571,999,1060,10.2,449.571428571429,190.142857142857,-49.3,140.285714285714,131,-2
"2020-04-14",107,862,206,1112.42857142857,216.714285714286,119.714285714286,991.285714285714,1046.71428571429,12.2,391,182.142857142857,-44.6,149.285714285714,135.857142857143,-19.8
"2020-04-15",202,730,208,1079.71428571429,201.714285714286,126.142857142857,984.285714285714,1030.28571428571,9.7,365,171.285714285714,-44.7,152.714285714286,136.857142857143,-17.4
"2020-04-16",177,1070,169,1060,190.142857142857,131,1002.14285714286,1009.14285714286,5.8,314.714285714286,158,-39.6,151,134.428571428571,-13.2
"2020-04-17",153,1234,155,1046.71428571429,182.142857142857,135.857142857143,1046,979,0.1,273.285714285714,150.857142857143,-33.4,147.285714285714,132.285714285714,-7.8
"2020-04-18",149,1186,138,1030.28571428571,171.285714285714,136.857142857143,1088.71428571429,958.142857142857,-5.4,252,138.142857142857,-32,140.857142857143,140.285714285714,-2.8
"2020-04-19",79,1023,101,1009.14285714286,158,134.428571428571,1099,955,-8.2,246.428571428571,126.857142857143,-35.9,139.857142857143,130.571428571429,-3.9
"2020-04-20",59,748,79,979,150.857142857143,132.285714285714,1101,927.285714285714,-11.1,228,121.571428571429,-33.8,137.428571428571,124.285714285714,-3.7
"2020-04-21",163,716,117,958.142857142857,138.142857142857,140.285714285714,1112.42857142857,866,-13.9,216.714285714286,117.428571428571,-36.3,119.714285714286,118.285714285714,17.2
