"date_of_update","date","week","total_registerd","total_estimated","people_vaccinated","people_fully_vaccinated","ggd_total","hosp_total","care_total","ha_total","registerd_new","estimated_new","people_fully_vaccinated_new","ggd_new","hosp_new","care_new","ha_new"
2021-01-07,2021-01-06,1,6000,6000,6000,0,44,6000,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-07,1,15128,15126,15000,0,128,15126,0,0,9128,9126,9000,0,9126,0,0
2021-01-09,2021-01-08,1,27022,27018,27000,0,1022,27018,0,0,11894,11892,12000,0,11892,0,0
2021-01-10,2021-01-09,1,32018,32013,30000,0,2018,32013,0,0,4996,4995,3000,0,4995,0,0
2021-01-11,2021-01-10,1,33934,33929,31000,0,2934,33929,0,0,1916,1916,1000,0,1916,0,0
2021-01-12,2021-01-11,2,42726,42617,35500,0,4726,42617,0,0,8792,8688,4500,0,8688,0,0
2021-01-13,2021-01-12,2,45087,44972,45000,0,6587,44972,0,0,2361,2355,9500,0,2355,0,0
2021-01-14,2021-01-13,2,47006,46886,47000,0,8506,46886,0,0,1919,1914,2000,0,1914,0,0
2021-01-15,2021-01-14,2,49487,49360,47000,0,10487,49360,0,0,2481,2474,0,0,2474,0,0
2021-01-16,2021-01-15,2,58332,58183,55000,0,19332,58183,0,0,8845,8823,8000,0,8823,0,0
2021-01-17,2021-01-16,2,67447,67274,55000,0,28447,67274,0,0,9115,9091,0,0,9091,0,0
2021-01-18,2021-01-17,2,77807,77608,77000,0,37591,77608,0,0,10360,10334,22000,0,10334,0,0
2021-01-19,2021-01-18,3,88926,88854,77000,0,47673,88854,0,0,11119,11246,0,0,11246,0,0
2021-01-20,2021-01-19,3,98832,98752,77000,0,57579,98752,0,0,9906,9898,0,0,9898,0,0
2021-01-21,2021-01-20,3,116271,116177,100000,0,67579,116177,0,0,17439,17425,23000,0,17425,0,0
2021-01-22,2021-01-21,3,131249,131143,100000,0,77597,131143,0,0,14978,14966,0,0,14966,0,0
2021-01-23,2021-01-22,3,141243,141129,135000,0,87591,141129,0,0,9994,9986,35000,0,9986,0,0
2021-01-24,2021-01-23,3,152495,152371,135000,0,97279,152371,0,0,11252,11242,0,0,11242,0,0
2021-01-25,2021-01-24,3,147316,164012,150000,0,107100,164012,0,0,-5179,11641,15000,0,11641,0,0
2021-01-26,2021-01-25,4,156809,175200,173638,0,116593,175200,0,0,9493,11188,23638,0,11188,0,0
2021-01-27,2021-01-26,4,168527,187024,185356,0,128311,187024,0,0,11718,11824,11718,0,11824,0,0
2021-01-28,2021-01-27,4,186621,205281,197250,6200,140205,205281,0,0,18094,18257,11894,0,18257,0,0
2021-01-29,2021-01-28,4,198669,217437,209298,6200,152253,217437,0,0,12048,12156,12048,0,12156,0,0
2021-01-30,2021-01-29,4,209469,228334,340590,6200,152253,228334,0,0,10800,10897,131292,0,10897,0,0
2021-01-31,2021-01-30,4,233502,325823,330381,13500,176286,325823,0,0,24033,97489,-10209,0,97489,0,0
2021-02-01,2021-01-31,4,248055,346975,317381,26500,187339,346975,0,0,14553,21152,-13000,0,21152,0,0
2021-02-02,2021-02-01,5,277275,380660,341908,34000,203559,380660,0,0,29220,33685,24527,0,33685,0,0
2021-02-03,2021-02-02,5,303702,421353,378093,38000,222486,421353,0,0,26427,40693,36185,0,40693,0,0
2021-02-04,2021-02-03,5,330494,460750,416998,38000,245278,460750,0,0,26792,39397,38905,0,39397,0,0
2021-02-05,2021-02-04,5,356517,501799,456035,39500,269801,501799,0,0,26023,41049,39037,0,41049,0,0
2021-02-06,2021-02-05,5,382975,539451,493217,39500,295159,539451,0,0,26458,37652,37182,0,37652,0,0
2021-02-07,2021-02-06,5,414198,576054,513863,55000,320982,576054,0,0,31223,36603,20646,0,36603,0,0
2021-02-08,2021-02-07,6,414858,578584,504952,66409,321042,578584,0,0,660,2530,-8911,0,2530,0,0
2021-02-09,2021-02-08,6,434417,601823,529525,66409,340601,601823,0,0,19559,23239,24573,0,23239,0,0
2021-02-10,2021-02-09,6,460252,632334,559737,66409,366436,632334,0,0,25835,30511,30212,0,30511,0,0
2021-02-11,2021-02-10,6,489558,666809,593875,66409,395742,666809,0,0,29306,34475,34138,0,34475,0,0
2021-02-12,2021-02-11,6,518710,701755,612536,82352,424894,701755,0,0,29152,34946,18661,0,34946,0,0
2021-02-13,2021-02-12,6,548430,732342,642823,82352,454614,732342,0,0,29720,30587,30287,0,30587,0,0
2021-02-14,2021-02-13,6,577620,761820,617459,136906,483804,761820,0,0,29190,29478,-25364,0,29478,0,0
2021-02-15,2021-02-14,6,606861,791350,636934,146672,512392,791350,0,0,29241,29530,19475,0,29530,0,0
2021-02-16,2021-02-15,7,623539,828449,644312,156593,528988,828449,0,0,16678,37099,7378,0,37099,0,0
2021-02-17,2021-02-16,7,654186,864678,667687,168242,559635,864678,0,0,30647,36229,23375,0,36229,0,0
2021-02-18,2021-02-17,7,687306,905050,694959,180000,592755,905050,0,0,33120,40372,27272,0,40372,0,0
2021-02-19,2021-02-18,7,719632,947206,723460,192253,625081,947206,0,0,32326,42156,28501,0,42156,0,0
2021-02-20,2021-02-19,7,750899,991407,736192,222253,656348,991407,0,0,31267,44201,12732,0,44201,0,0
2021-02-21,2021-02-20,7,779889,1021394,754182,233253,685338,1021394,0,0,28990,29987,17990,0,29987,0,0
2021-02-22,2021-02-21,8,806744,1049173,781037,233253,712193,1049173,0,0,26855,27779,26855,0,27779,0,0
2021-02-23,2021-02-22,8,835554,1127297,829618,233253,741003,1127297,0,0,28810,78124,48581,0,78124,0,0
2021-02-24,2021-02-23,8,862964,1179973,878283,234253,768413,1179973,0,0,27410,52676,48665,0,52676,0,0
2021-02-25,2021-02-24,8,891621,1240180,876977,292325,794070,1240180,0,0,28657,60207,-1306,0,60207,0,0
2021-02-26,2021-02-25,8,915793,1311124,927144,309048,818242,1311124,0,0,24172,70944,50167,0,70944,0,0
2021-02-27,2021-02-26,8,934595,1363678,964307,321435,837044,1363678,0,0,18802,52554,37163,0,52554,0,0
2021-02-28,2021-02-27,8,952919,1398960,989256,329752,855368,1398960,0,0,18324,35282,24949,0,35282,0,0
2021-03-01,2021-02-28,8,968765,1419255,1002503,334167,871214,1419255,0,0,15846,20295,13247,0,20295,0,0
2021-03-02,2021-03-01,9,990389,1491523,1034742,344913,892838,1491523,0,0,21624,72268,32239,0,72268,0,0
2021-03-03,2021-03-02,9,1011426,1546142,1068990,356329,913875,1546142,0,0,21037,54619,34248,0,54619,0,0
2021-03-04,2021-03-03,9,1031922,1597625,1102968,367655,934371,1597625,0,0,20496,51483,33978,0,51483,0,0
2021-03-05,2021-03-04,9,1054615,1658411,1145261,381753,954564,1658411,0,0,22693,60786,42293,0,60786,0,0
2021-03-06,2021-03-05,9,1074650,1745430,1178489,392829,974599,1745430,0,0,20035,87019,33228,0,87019,0,0
2021-03-07,2021-03-06,9,1094332,1753956,1197192,399064,994281,1753956,0,0,19682,8526,18703,0,8526,0,0
2021-03-08,2021-03-07,9,1116491,1762483,1279872,340218,1013640,1762483,0,0,22159,8527,82680,0,8527,0,0
2021-03-09,2021-03-08,10,1142359,1813621,1242184,414061,1039508,1813621,0,0,25868,51138,-37688,0,51138,0,0
2021-03-10,2021-03-09,10,1175502,1860988,1272374,424124,1067651,1860988,0,0,33143,47367,30190,0,47367,0,0
2021-03-11,2021-03-10,10,1206947,1911595,1305072,435023,1099096,1911595,0,0,31445,50607,32698,0,50607,0,0
2021-03-12,2021-03-11,10,1238446,1963172,1338552,446183,1130595,1963172,0,0,31499,51577,33480,0,51577,0,0
