"date_of_update","date","week","total_registerd","total_estimated","people_vaccinated","people_fully_vaccinated","ggd_total","hosp_total","care_total","ha_total","registerd_new","estimated_new","people_fully_vaccinated_new","ggd_new","hosp_new","care_new","ha_new"
2021-01-07,2021-01-06,1,6000,6000,6000,0,44,6000,0,0,6000,6000,0,44,6000,0,0
2021-01-08,2021-01-07,1,15128,15128,15000,0,128,15000,0,0,9128,9128,0,84,9000,0,0
2021-01-09,2021-01-08,1,27022,27022,27000,0,1022,26000,0,0,11894,11894,0,894,11000,0,0
2021-01-10,2021-01-09,1,32018,32018,30000,0,2018,30000,0,0,4996,4996,0,996,4000,0,0
2021-01-11,2021-01-10,1,33934,33934,31000,0,2934,31000,0,0,1916,1916,0,916,1000,0,0
2021-01-12,2021-01-11,2,42726,42726,35500,0,4726,38000,0,0,8792,8792,0,1792,7000,0,0
2021-01-13,2021-01-12,2,45087,45087,45000,0,6587,38500,0,0,2361,2361,0,1861,500,0,0
2021-01-14,2021-01-13,2,47006,47006,47000,0,8506,38500,0,0,1919,1919,0,1919,0,0,0
2021-01-15,2021-01-14,2,49487,49487,47000,0,10487,39000,0,0,2481,2481,0,1981,500,0,0
2021-01-16,2021-01-15,2,58332,58332,55000,0,19332,39000,0,0,8845,8845,0,8845,0,0,0
2021-01-17,2021-01-16,2,67447,67447,55000,0,28447,39000,0,0,9115,9115,0,9115,0,0,0
2021-01-18,2021-01-17,2,77807,77807,77000,0,37591,40216,0,0,10360,10360,0,9144,1216,0,0
2021-01-19,2021-01-18,3,88926,88926,77000,0,47673,40216,1037,0,11119,11119,0,10082,0,1037,0
2021-01-20,2021-01-19,3,98832,98832,77000,0,57579,40216,1037,0,9906,9906,0,9906,0,0,0
2021-01-21,2021-01-20,3,116271,116271,100000,0,67579,40216,8476,0,17439,17439,0,10000,0,7439,0
2021-01-22,2021-01-21,3,131249,131249,100000,0,77597,40216,13436,0,14978,14978,0,10018,0,4960,0
2021-01-23,2021-01-22,3,141243,141243,135000,0,87591,40216,13436,0,9994,9994,0,9994,0,0,0
2021-01-24,2021-01-23,3,152495,152495,135000,0,97279,40216,15000,0,11252,11252,0,9688,0,1564,0
2021-01-25,2021-01-24,3,147316,164145,150000,0,107100,40216,16829,0,-5179,11650,0,9821,0,1829,0
2021-01-26,2021-01-25,4,156809,178166,173638,0,116593,40216,21357,0,9493,14021,0,9493,0,4528,0
2021-01-27,2021-01-26,4,168527,198572,185356,0,128311,40216,30045,0,11718,20406,0,11718,0,8688,0
2021-01-28,2021-01-27,4,186621,230457,197250,6200,140205,46416,43836,0,18094,31885,6200,11894,6200,13791,0
2021-01-29,2021-01-28,4,198669,259907,209298,6200,152253,46416,61238,0,12048,29450,0,12048,0,17402,0
2021-01-30,2021-01-29,4,209469,286713,340590,6200,152253,57216,77244,0,10800,26806,0,0,10800,16006,0
2021-01-31,2021-01-30,4,233502,322591,330381,13500,176286,57216,89089,0,24033,35878,7300,24033,0,11845,0
2021-02-01,2021-01-31,4,248055,343888,317381,26500,187339,60716,95833,0,14553,21297,13000,11053,3500,6744,0
2021-02-02,2021-02-01,5,277275,375908,341908,34000,203559,73716,98633,0,29220,32020,7500,16220,13000,2800,0
2021-02-03,2021-02-02,5,303702,416093,378093,38000,222486,81216,112391,0,26427,40185,4000,18927,7500,13758,0
2021-02-04,2021-02-03,5,330494,454998,416998,38000,245278,85216,124504,0,26792,38905,0,22792,4000,12113,0
2021-02-05,2021-02-04,5,356517,495535,456035,39500,269801,86716,139018,0,26023,40537,1500,24523,1500,14514,0
2021-02-06,2021-02-05,5,382975,532717,493217,39500,295159,87816,149742,0,26458,37182,0,25358,1100,10724,0
2021-02-07,2021-02-06,5,414198,568863,513863,55000,320982,93216,154665,0,31223,36146,15500,25823,5400,4923,0
2021-02-08,2021-02-07,6,414858,571361,504952,66409,321042,93816,156503,0,660,2498,0,60,600,1838,0
2021-02-09,2021-02-08,6,434417,595934,529525,66409,340601,93816,161517,0,19559,24573,0,19559,0,5014,0
2021-02-10,2021-02-09,6,460252,626146,559737,66409,366436,93816,165894,0,25835,30212,0,25835,0,4377,0
2021-02-11,2021-02-10,6,489558,660284,593875,66409,395742,93816,170726,0,29306,34138,0,29306,0,4832,0
2021-02-12,2021-02-11,6,518710,694888,612536,82352,424894,93816,176178,0,29152,34604,15943,29152,0,5452,0
2021-02-13,2021-02-12,6,548430,725175,642823,82352,454614,93816,176745,0,29720,30287,0,29720,0,567,0
2021-02-14,2021-02-13,6,577620,754365,617459,136906,483804,93816,176745,0,29190,29190,54554,29190,0,0,0
2021-02-15,2021-02-14,6,606861,783606,636934,146672,512392,94469,176745,0,29241,29241,9766,28588,653,0,0
2021-02-16,2021-02-15,7,623539,800905,644312,156593,528988,94551,177366,0,16678,17299,9921,16596,82,621,0
2021-02-17,2021-02-16,7,654186,835929,667687,168242,559635,94551,180270,1473,30647,35024,11649,30647,0,2904,1473
2021-02-18,2021-02-17,7,687306,874959,694959,180000,592755,94551,184706,2947,33120,39030,11758,33120,0,4436,1474
2021-02-19,2021-02-18,7,719632,915713,723460,192253,625081,94551,189142,6939,32326,40754,12253,32326,0,4436,3992
2021-02-20,2021-02-19,7,750899,958445,736192,222253,656348,94551,194160,13386,31267,42732,30000,31267,0,5018,6447
2021-02-21,2021-02-20,7,779889,987435,754182,233253,685338,94551,194160,13386,28990,28990,11000,28990,0,0,0
2021-02-22,2021-02-21,8,806744,1014290,781037,233253,712193,94551,194160,13386,26855,26855,11000,26855,0,0,0
2021-02-23,2021-02-22,8,835554,1062871,829618,233253,741003,94551,207483,19834,28810,48581,0,28810,0,13323,6448
2021-02-24,2021-02-23,8,862964,1112536,878283,234253,768413,94551,223290,26282,27410,49665,1000,27410,0,15807,6448
2021-02-25,2021-02-24,8,891621,1169302,876977,292325,794070,97551,241430,36251,28657,56766,58072,25657,3000,18140,9969
2021-02-26,2021-02-25,8,915793,1236192,927144,309048,818242,97551,270803,49596,24172,66890,16723,24172,0,29373,13345
2021-02-27,2021-02-26,8,934595,1285742,964307,321435,837044,97551,288228,62919,18802,49550,12387,18802,0,17425,13323
2021-02-28,2021-02-27,8,952919,1319008,989256,329752,855368,97551,303170,62919,18324,33266,8317,18324,0,14942,0
2021-03-01,2021-02-28,8,968765,1336670,1002503,334167,871214,97551,304902,63003,15846,17662,4415,15846,0,1732,84
2021-03-02,2021-03-01,9,990389,1381128,1034742,344913,892838,97551,311216,79523,21624,44458,10746,21624,0,6314,16520
2021-03-03,2021-03-02,9,1011426,1429342,1068990,356329,913875,97551,323345,94571,21037,48214,11416,21037,0,12129,15048
2021-03-04,2021-03-03,9,1031922,1479652,1102968,367655,934371,97551,338111,109619,20496,50310,11326,20496,0,14766,15048
2021-03-05,2021-03-04,9,1054615,1538499,1145261,381753,954564,100051,361767,122117,22693,58847,14098,20193,2500,23656,12498
2021-03-06,2021-03-05,9,1074650,1582803,1178489,392829,974599,100051,375994,132159,20035,44304,11076,20035,0,14227,10042
2021-03-07,2021-03-06,9,1094332,1607741,1197192,399064,994281,100051,381250,132159,19682,24938,6235,19682,0,5256,0
2021-03-08,2021-03-07,9,1116491,1631575,1279872,340218,1013640,102851,382925,132159,22159,23834,-58846,19359,2800,1675,0
2021-03-09,2021-03-08,10,1142359,1671201,1242184,414061,1039508,102851,386641,142201,25868,39626,73843,25868,0,3716,10042
2021-03-10,2021-03-09,10,1175502,1718352,1272374,424124,1067651,107851,390607,152243,33143,47151,10063,28143,5000,3966,10042
2021-03-11,2021-03-10,10,1206947,1765523,1305072,435023,1099096,107851,395110,163466,31445,47171,10899,31445,0,4503,11223
2021-03-12,2021-03-11,10,1238446,1813392,1338552,446183,1130595,107851,399954,174992,31499,47869,11160,31499,0,4844,11526
2021-03-13,2021-03-12,10,1273892,1864702,1374722,458240,1166041,107851,404438,186372,35446,51310,12057,35446,0,4484,11380
2021-03-14,2021-03-13,10,1306477,1897287,1399161,466386,1198626,107851,404438,186372,32585,32585,8146,32585,0,0,0
2021-03-15,2021-03-14,10,1333619,1924429,1419517,473172,1225768,107851,404438,186372,27142,27142,6786,27142,0,0,0
2021-03-16,2021-03-15,11,1355237,1947426,1417524,498048,1247386,107851,405817,186372,21618,22997,24876,21618,0,1379,0
2021-03-17,2021-03-16,11,1385181,1978768,1440513,506126,1277330,107851,407215,186372,29944,31342,8078,29944,0,1398,0
2021-03-18,2021-03-17,11,1410860,2009961,1463146,514078,1302259,108601,412729,186372,25679,31193,7952,24929,750,5514,0
2021-03-19,2021-03-18,11,1438790,2041459,1486124,522151,1330189,108601,416297,186372,27930,31498,8073,27930,0,3568,0
2021-03-20,2021-03-19,11,1467492,2074116,1510290,530642,1358891,108601,420252,186372,28702,32657,8491,28702,0,3955,0
2021-03-21,2021-03-20,11,1497034,2103658,1532151,538323,1388433,108601,420252,186372,29542,29542,7681,29542,0,0,0
2021-03-22,2021-03-21,11,1524791,2131420,1552695,545541,1416190,108601,420257,186372,27757,27762,7218,27757,0,5,0
2021-03-23,2021-03-22,12,1545680,2155661,1509048,613381,1437079,108601,423609,186372,20889,24241,67840,20889,0,3352,0
2021-03-24,2021-03-23,12,1568271,2189219,1540360,626109,1459670,108601,434576,186372,22591,33558,12728,22591,0,10967,0
2021-03-25,2021-03-24,12,1598336,2244335,1581594,642869,1489735,108601,444913,201086,30065,55116,16760,30065,0,10337,14714
2021-03-26,2021-03-25,12,1630405,2301427,1612647,655492,1521804,108601,455222,215800,32069,57092,12623,32069,0,10309,14714
2021-03-27,2021-03-26,12,1660175,2356899,1652088,671523,1551574,108601,466210,230514,29770,55472,16031,29770,0,10988,14714
2021-03-28,2021-03-27,12,1692022,2388746,1695930,659528,1583421,108601,466210,230514,31847,31847,-11995,31847,0,0,0
2021-03-29,2021-03-28,12,1712853,2412094,1712741,666065,1604252,108601,468727,230514,20831,23348,6537,20831,0,2517,0
2021-03-30,2021-03-29,13,1750355,2473846,1732463,707625,1641754,108601,478263,245228,37502,61752,41560,37502,0,9536,14714
2021-03-31,2021-03-30,13,1788530,2539805,1778751,726532,1679929,108601,487582,263693,38175,65959,18907,38175,0,9319,18465
2021-04-01,2021-03-31,13,1826740,2612717,1830139,747521,1718139,108601,500496,285481,38210,72912,20989,38210,0,12914,21788
2021-04-02,2021-04-01,13,1868323,2699195,1891538,772600,1759722,108601,521168,309704,41583,86478,25079,41583,0,20672,24223
2021-04-03,2021-04-02,13,1911011,2777101,1946852,795192,1802410,108601,536730,329360,42688,77906,22592,42688,0,15562,19656
2021-04-04,2021-04-03,13,1949866,2817817,1976140,807155,1841265,108601,538591,329360,38855,40716,11963,38855,0,1861,0
2021-04-05,2021-04-04,13,1986283,2854234,2001996,817716,1877682,108601,538591,329360,36417,36417,10561,36417,0,0,0
2021-04-06,2021-04-05,14,2027647,2909446,2065707,843739,1919046,108601,550025,331774,41364,55212,26023,41364,0,11434,2414
2021-04-07,2021-04-06,14,2072009,2963955,2104409,859546,1963408,108601,560172,331774,44362,54509,15807,44362,0,10147,0
2021-04-08,2021-04-07,14,2118557,3016263,2141547,874716,2009956,108601,565932,331774,46548,52308,15170,46548,0,5760,0
2021-04-09,2021-04-08,14,2167694,3078641,2185836,892805,2059093,108601,579173,331774,49137,62378,18089,49137,0,13241,0
2021-04-10,2021-04-09,14,2216144,3135909,2257855,878054,2107543,108601,587991,331774,48450,57268,-14751,48450,0,8818,0
2021-04-11,2021-04-10,14,2263071,3182836,2291642,891194,2154470,108601,587991,331774,46927,46927,13140,46927,0,0,0
