date_of_update,date,week,total_registerd,total_estimated,people_vaccinated,people_fully_vaccinated,ggd_total,hosp_total,care_total,ha_total,registerd_new,estimated_new,people_fully_vaccinated_new,ggd_new,hosp_new,care_new,ha_new
2021-01-07,2021-01-06,1,6000,6000,6000,0,44,6000,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-07,1,15128,15126,15000,0,128,15126,0,0,9128,9126,9000,0,84,9126,0
2021-01-09,2021-01-08,1,27022,27018,27000,0,1022,27018,0,0,11894,11892,12000,0,894,11892,0
2021-01-10,2021-01-09,1,32018,32013,30000,0,2018,32013,0,0,4996,4995,3000,0,996,4995,0
2021-01-11,2021-01-10,1,33934,33929,31000,0,2934,33929,0,0,1916,1916,1000,0,916,1916,0
2021-01-12,2021-01-11,2,42726,42617,35500,0,4726,42617,0,0,8792,8688,4500,0,1792,8688,0
2021-01-13,2021-01-12,2,45087,44972,45000,0,6587,44972,0,0,2361,2355,9500,0,1861,2355,0
2021-01-14,2021-01-13,2,47006,46886,47000,0,8506,46886,0,0,1919,1914,2000,0,1919,1914,0
2021-01-15,2021-01-14,2,49487,49360,47000,0,10487,49360,0,0,2481,2474,0,0,1981,2474,0
2021-01-16,2021-01-15,2,58332,58183,55000,0,19332,58183,0,0,8845,8823,8000,0,8845,8823,0
2021-01-17,2021-01-16,2,67447,67274,55000,0,28447,67274,0,0,9115,9091,0,0,9115,9091,0
2021-01-18,2021-01-17,2,77807,77608,77000,0,37591,77608,0,0,10360,10334,22000,0,9144,10334,0
2021-01-19,2021-01-18,3,88926,88854,77000,0,47673,88854,0,0,11119,11246,0,0,10082,11246,0
2021-01-20,2021-01-19,3,98832,98752,77000,0,57579,98752,0,0,9906,9898,0,0,9906,9898,0
2021-01-21,2021-01-20,3,116271,116177,100000,0,67579,116177,0,0,17439,17425,23000,0,10000,17425,0
2021-01-22,2021-01-21,3,131249,131143,100000,0,77597,131143,0,0,14978,14966,0,0,10018,14966,0
2021-01-23,2021-01-22,3,141243,141129,135000,0,87591,141129,0,0,9994,9986,35000,0,9994,9986,0
2021-01-24,2021-01-23,3,152495,152371,135000,0,97279,152371,0,0,11252,11242,0,0,9688,11242,0
2021-01-25,2021-01-24,3,147316,164012,150000,0,107100,164012,0,0,-5179,11641,15000,0,9821,11641,0
2021-01-26,2021-01-25,4,156809,175200,173638,0,116593,175200,0,0,9493,11188,23638,0,9493,11188,0
2021-01-27,2021-01-26,4,168527,187024,185356,0,128311,187024,0,0,11718,11824,11718,0,11718,11824,0
2021-01-28,2021-01-27,4,186621,205281,197250,6200,140205,205281,0,0,18094,18257,11894,6200,11894,18257,0
2021-01-29,2021-01-28,4,198669,217437,209298,6200,152253,217437,0,0,12048,12156,12048,0,12048,12156,0
2021-01-30,2021-01-29,4,209469,228334,340590,6200,152253,228334,0,0,10800,10897,131292,0,0,10897,0
2021-01-31,2021-01-30,4,233502,325823,330381,13500,176286,325823,0,0,24033,97489,-10209,7300,24033,97489,0
2021-02-01,2021-01-31,4,248055,346975,317381,26500,187339,346975,0,0,14553,21152,-13000,13000,11053,21152,0
2021-02-02,2021-02-01,5,277275,380660,341908,34000,203559,380660,0,0,29220,33685,24527,7500,16220,33685,0
2021-02-03,2021-02-02,5,303702,421353,378093,38000,222486,421353,0,0,26427,40693,36185,4000,18927,40693,0
2021-02-04,2021-02-03,5,330494,460750,416998,38000,245278,460750,0,0,26792,39397,38905,0,22792,39397,0
2021-02-05,2021-02-04,5,356517,501799,456035,39500,269801,501799,0,0,26023,41049,39037,1500,24523,41049,0
2021-02-06,2021-02-05,5,382975,539451,493217,39500,295159,539451,0,0,26458,37652,37182,0,25358,37652,0
2021-02-07,2021-02-06,5,414198,576054,513863,55000,320982,576054,0,0,31223,36603,20646,15500,25823,36603,0
2021-02-08,2021-02-07,6,414858,578584,504952,66409,321042,578584,0,0,660,2530,-8911,11409,60,2530,0
2021-02-09,2021-02-08,6,434417,601823,529525,66409,340601,601823,0,0,19559,23239,24573,0,19559,23239,0
2021-02-10,2021-02-09,6,460252,632334,559737,66409,366436,632334,0,0,25835,30511,30212,0,25835,30511,0
2021-02-11,2021-02-10,6,489558,666809,593875,66409,395742,666809,0,0,29306,34475,34138,0,29306,34475,0
2021-02-12,2021-02-11,6,518710,701755,612536,82352,424894,701755,0,0,29152,34946,18661,15943,29152,34946,0
2021-02-13,2021-02-12,6,548430,732342,642823,82352,454614,732342,0,0,29720,30587,30287,0,29720,30587,0
2021-02-14,2021-02-13,6,577620,761820,617459,136906,483804,761820,0,0,29190,29478,-25364,54554,29190,29478,0
2021-02-15,2021-02-14,6,606861,791350,636934,146672,512392,791350,0,0,29241,29530,19475,9766,28588,29530,0
2021-02-16,2021-02-15,7,623539,828449,644312,156593,528988,828449,0,0,16678,37099,7378,9921,16596,37099,0
2021-02-17,2021-02-16,7,654186,864678,667687,168242,559635,864678,0,0,30647,36229,23375,11649,30647,36229,0
2021-02-18,2021-02-17,7,687306,905050,694959,180000,592755,905050,0,0,33120,40372,27272,11758,33120,40372,0
2021-02-19,2021-02-18,7,719632,947206,723460,192253,625081,947206,0,0,32326,42156,28501,12253,32326,42156,0
2021-02-20,2021-02-19,7,750899,991407,736192,222253,656348,991407,0,0,31267,44201,12732,30000,31267,44201,0
2021-02-21,2021-02-20,7,779889,1021394,754182,233253,685338,1021394,0,0,28990,29987,17990,11000,28990,29987,0
2021-02-22,2021-02-21,8,806744,1049173,781037,233253,712193,1049173,0,0,26855,27779,26855,0,26855,27779,0
2021-02-23,2021-02-22,8,835554,1127297,829618,233253,741003,1127297,0,0,28810,78124,48581,0,28810,78124,0
2021-02-24,2021-02-23,8,862964,1179973,878283,234253,768413,1179973,0,0,27410,52676,48665,1000,27410,52676,0
2021-02-25,2021-02-24,8,891621,1240180,876977,292325,794070,1240180,0,0,28657,60207,-1306,58072,25657,60207,0
2021-02-26,2021-02-25,8,915793,1311124,927144,309048,818242,1311124,0,0,24172,70944,50167,16723,24172,70944,0
2021-02-27,2021-02-26,8,934595,1363678,964307,321435,837044,1363678,0,0,18802,52554,37163,12387,18802,52554,0
2021-02-28,2021-02-27,8,952919,1398960,989256,329752,855368,1398960,0,0,18324,35282,24949,8317,18324,35282,0
2021-03-01,2021-02-28,8,968765,1419255,1002503,334167,871214,1419255,0,0,15846,20295,13247,4415,15846,20295,0
2021-03-02,2021-03-01,9,990389,1491523,1034742,344913,892838,1491523,0,0,21624,72268,32239,10746,21624,72268,0
2021-03-03,2021-03-02,9,1011426,1546142,1068990,356329,913875,1546142,0,0,21037,54619,34248,11416,21037,54619,0
2021-03-04,2021-03-03,9,1031922,1597625,1102968,367655,934371,1597625,0,0,20496,51483,33978,11326,20496,51483,0
2021-03-05,2021-03-04,9,1054615,1658411,1145261,381753,954564,1658411,0,0,22693,60786,42293,14098,20193,60786,0
2021-03-06,2021-03-05,9,1074650,1745430,1178489,392829,974599,1745430,0,0,20035,87019,33228,11076,20035,87019,0
2021-03-07,2021-03-06,9,1094332,1753956,1197192,399064,994281,1753956,0,0,19682,8526,18703,6235,19682,8526,0
2021-03-08,2021-03-07,9,1116491,1762483,1279872,340218,1013640,1762483,0,0,22159,8527,82680,-58846,19359,8527,0
2021-03-09,2021-03-08,10,1142359,1813621,1242184,414061,1039508,1813621,0,0,25868,51138,-37688,73843,25868,51138,0
2021-03-10,2021-03-09,10,1175502,1860988,1272374,424124,1067651,1860988,0,0,33143,47367,30190,10063,28143,47367,0
2021-03-11,2021-03-10,10,1206947,1911595,1305072,435023,1099096,1911595,0,0,31445,50607,32698,10899,31445,50607,0
2021-03-12,2021-03-11,10,1238446,1963172,1338552,446183,1130595,1963172,0,0,31499,51577,33480,11160,31499,51577,0
2021-03-13,2021-03-12,10,1273892,2015294,1374722,458240,1166041,2015294,0,0,35446,52122,36170,12057,35446,52122,0
2021-03-14,2021-03-13,10,1306477,2050511,1399161,466386,1198626,2050511,0,0,32585,35217,24439,8146,32585,35217,0
2021-03-15,2021-03-14,10,1333619,2079968,1419517,473172,1225768,2079968,0,0,27142,29457,20356,6786,27142,29457,0
2021-03-16,2021-03-15,11,1355237,2097114,1417524,498048,1247386,2097114,0,0,21618,17146,-1993,24876,21618,17146,0
2021-03-17,2021-03-16,11,1385181,2131219,1440513,506126,1277330,2131219,0,0,29944,34105,22989,8078,29944,34105,0
2021-03-18,2021-03-17,11,1410860,2164631,1463146,514078,1302259,2164631,0,0,25679,33412,22633,7952,24929,33412,0
2021-03-19,2021-03-18,11,1438790,2198064,1486124,522151,1330189,2198064,0,0,27930,33433,22978,8073,27930,33433,0
2021-03-20,2021-03-19,11,1467492,2233226,1510290,530642,1358891,2233226,0,0,28702,35162,24166,8491,28702,35162,0
2021-03-21,2021-03-20,11,1497034,2265035,1532151,538323,1388433,2265035,0,0,29542,31809,21861,7681,29542,31809,0
2021-03-22,2021-03-21,11,1524791,2294978,1552695,545541,1416190,2294978,0,0,27757,29943,20544,7218,27757,29943,0
2021-03-23,2021-03-22,12,1545680,2355763,1509048,613381,1437079,2355763,0,0,20889,60785,-43647,67840,20889,60785,0
2021-03-24,2021-03-23,12,1568271,2392435,1540360,626109,1459670,2392435,0,0,22591,36672,31312,12728,22591,36672,0
2021-03-25,2021-03-24,12,1598336,2452636,1581594,642869,1489735,2452636,0,0,30065,60201,41234,16760,30065,60201,0
2021-03-26,2021-03-25,12,1630405,2515027,1612647,655492,1521804,2515027,0,0,32069,62391,31053,12623,32069,62391,0
2021-03-27,2021-03-26,12,1660175,2575648,1652088,671523,1551574,2575648,0,0,29770,60621,39441,16031,29770,60621,0
2021-03-28,2021-03-27,12,1692022,2610450,1695930,659528,1583421,2610450,0,0,31847,34802,43842,-11995,31847,34802,0
2021-03-29,2021-03-28,12,1712853,2636479,1712741,666065,1604252,2636479,0,0,20831,26029,16811,6537,20831,26029,0
2021-03-30,2021-03-29,13,1750355,2748086,1732463,707625,1641754,2748086,0,0,37502,111607,19722,41560,37502,111607,0
2021-03-31,2021-03-30,13,1788530,2782149,1778751,726532,1679929,2782149,0,0,38175,34063,46288,18907,38175,34063,0
2021-04-01,2021-03-31,13,1826740,2862524,1830139,747521,1718139,2862524,0,0,38210,80375,51388,20989,38210,80375,0
2021-04-02,2021-04-01,13,1868323,2958559,1891538,772600,1759722,2958559,0,0,41583,96035,61399,25079,41583,96035,0
2021-04-03,2021-04-02,13,1911011,3045075,1946852,795192,1802410,3045075,0,0,42688,86516,55314,22592,42688,86516,0
2021-04-04,2021-04-03,13,1949866,3090884,1976140,807155,1841265,3090884,0,0,38855,45809,29288,11963,38855,45809,0
2021-04-05,2021-04-04,13,1986283,3131326,2001996,817716,1877682,3131326,0,0,36417,40442,25856,10561,36417,40442,0
2021-04-06,2021-04-05,14,2027647,3224565,2065707,843739,1919046,3224565,0,0,41364,93239,63711,26023,41364,93239,0
2021-04-07,2021-04-06,14,2072009,3317804,2104409,859546,1963408,3317804,0,0,44362,93239,38702,15807,44362,93239,0
2021-04-08,2021-04-07,14,2118557,3411043,2141547,874716,2009956,3411043,0,0,46548,93239,37138,15170,46548,93239,0
2021-04-09,2021-04-08,14,2167694,3504281,2185836,892805,2059093,3504281,0,0,49137,93238,44289,18089,49137,93238,0
2021-04-10,2021-04-09,14,2216144,3597520,2257855,878054,2107543,3597520,0,0,48450,93239,72019,-14751,48450,93239,0
2021-04-11,2021-04-10,14,2263071,3690759,2291642,891194,2154470,3690759,0,0,46927,93239,33787,13140,46927,93239,0
2021-04-12,2021-04-11,14,2263071,3783998,2291642,891194,2154470,3783998,0,0,0,93239,0,0,0,93239,0
2021-04-13,2021-04-12,15,2263049,3900464,3081367,819097,2263049,3900464,886792,750623,-22,116466,789725,-72097,108579,116466,886792
