"<50";"50-59";"60-69";"70-79";"80-89";"90+";"date"
"0";"1";"5";"22";"33";"25";"2021-01-26"
"1";"1";"1";"17";"31";"16";"2021-01-27"
"0";"2";"12";"17";"33";"19";"2021-01-28"
"0";"2";"6";"11";"23";"14";"2021-01-29"
"1";"1";"10";"18";"38";"20";"2021-01-30"
"0";"0";"4";"7";"19";"9";"2021-01-31"
"0";"0";"0";"6";"16";"5";"2021-02-01"
"1";"1";"5";"21";"31";"24";"2021-02-02"
"0";"2";"5";"10";"23";"21";"2021-02-03"
"1";"1";"10";"11";"32";"10";"2021-02-04"
"0";"2";"3";"16";"28";"11";"2021-02-05"
"0";"2";"3";"11";"33";"12";"2021-02-06"
"0";"0";"5";"11";"21";"11";"2021-02-07"
"1";"0";"2";"7";"8";"7";"2021-02-08"
"1";"1";"6";"18";"36";"21";"2021-02-09"
"1";"2";"5";"15";"39";"17";"2021-02-10"
"0";"1";"3";"21";"32";"15";"2021-02-11"
"1";"3";"5";"15";"18";"23";"2021-02-12"
"0";"0";"4";"15";"35";"12";"2021-02-13"
"0";"0";"1";"2";"14";"6";"2021-02-14"
"0";"0";"2";"9";"12";"4";"2021-02-15"
"0";"2";"7";"20";"33";"24";"2021-02-16"
"3";"2";"6";"24";"31";"22";"2021-02-17"
"1";"1";"4";"18";"30";"18";"2021-02-18"
"0";"0";"2";"11";"24";"12";"2021-02-19"
"0";"0";"5";"12";"35";"10";"2021-02-20"
"0";"2";"0";"3";"8";"4";"2021-02-21"
"0";"0";"6";"7";"13";"6";"2021-02-22"
"0";"1";"10";"14";"56";"13";"2021-02-23"
"0";"2";"4";"21";"26";"10";"2021-02-24"
"0";"0";"4";"6";"11";"11";"2021-02-25"
"0";"1";"3";"14";"26";"21";"2021-02-26"
"0";"0";"6";"8";"17";"9";"2021-02-27"
"0";"0";"2";"7";"9";"2";"2021-02-28"
