"<50";"0-9";"10-19";"20-29";"30-39";"40-49";"50-59";"60-69";"70-79";"80-89";"90+";"date";"Unknown"
"0";"400";"586";"457";"436";"361";"259";"158";"68";"42";"14";"2021-09-08";"0"
"0";"381";"474";"400";"367";"296";"202";"133";"57";"44";"8";"2021-09-09";"0"
"0";"357";"536";"487";"435";"343";"228";"155";"83";"55";"8";"2021-09-10";"0"
"0";"289";"434";"417";"340";"243";"207";"129";"76";"47";"16";"2021-09-11";"0"
"0";"294";"423";"344";"340";"278";"179";"112";"72";"33";"7";"2021-09-12";"0"
"0";"258";"383";"272";"259";"234";"156";"104";"48";"23";"2";"2021-09-13";"0"
"0";"306";"408";"353";"314";"253";"174";"113";"59";"24";"5";"2021-09-14";"0"
"0";"321";"476";"368";"377";"338";"222";"140";"68";"33";"11";"2021-09-15";"0"
"1";"334";"405";"333";"324";"250";"192";"145";"78";"26";"10";"2021-09-16";"0"
"1";"297";"405";"388";"366";"282";"174";"112";"78";"26";"9";"2021-09-17";"0"
"0";"228";"434";"343";"323";"277";"196";"102";"60";"28";"9";"2021-09-18";"0"
"0";"244";"316";"241";"252";"229";"189";"95";"58";"33";"6";"2021-09-19";"0"
"1";"207";"279";"197";"212";"147";"150";"82";"31";"21";"-1";"2021-09-20";"0"
"0";"218";"365";"254";"272";"237";"163";"80";"47";"21";"7";"2021-09-21";"0"
"0";"216";"402";"288";"317";"267";"186";"111";"64";"38";"11";"2021-09-22";"0"
"0";"214";"334";"296";"319";"251";"180";"128";"65";"27";"9";"2021-09-23";"0"
"0";"173";"316";"292";"292";"247";"156";"95";"57";"46";"7";"2021-09-24";"0"
"0";"160";"314";"244";"263";"222";"173";"112";"61";"34";"9";"2021-09-25";"0"
"0";"203";"300";"274";"231";"227";"153";"106";"60";"34";"9";"2021-09-26";"0"
"1";"152";"286";"230";"195";"179";"132";"112";"65";"29";"6";"2021-09-27";"0"
"0";"201";"334";"251";"293";"232";"180";"113";"67";"29";"7";"2021-09-28";"0"
"0";"173";"359";"295";"259";"241";"188";"132";"63";"38";"7";"2021-09-29";"0"
"0";"164";"284";"305";"294";"251";"180";"122";"67";"28";"8";"2021-09-30";"0"
"1";"161";"313";"287";"299";"208";"174";"150";"66";"42";"12";"2021-10-01";"0"
"0";"135";"269";"294";"291";"220";"198";"131";"66";"44";"10";"2021-10-02";"0"
"0";"136";"277";"275";"260";"239";"181";"120";"72";"34";"9";"2021-10-03";"0"
"0";"164";"280";"248";"277";"228";"196";"133";"64";"32";"2";"2021-10-04";"0"
"0";"201";"360";"302";"321";"249";"190";"139";"75";"35";"10";"2021-10-05";"0"
"1";"225";"339";"283";"311";"272";"208";"126";"85";"34";"11";"2021-10-06";"0"
"0";"286";"499";"439";"433";"364";"301";"214";"127";"60";"23";"2021-10-07";"0"
"0";"221";"475";"488";"443";"394";"297";"227";"130";"71";"15";"2021-10-08";"0"
"0";"206";"446";"423";"377";"364";"280";"192";"120";"75";"18";"2021-10-09";"0"
"0";"200";"402";"377";"313";"333";"272";"207";"92";"54";"8";"2021-10-10";"0"
"0";"273";"489";"410";"394";"385";"325";"219";"155";"52";"9";"2021-10-11";"0"
"0";"303";"556";"408";"434";"407";"348";"204";"154";"56";"17";"2021-10-12";"0"
"0";"371";"615";"634";"569";"471";"434";"292";"206";"99";"25";"2021-10-13";"0"
"0";"310";"666";"661";"525";"463";"390";"307";"187";"89";"25";"2021-10-14";"0"
"1";"310";"642";"661";"583";"490";"443";"280";"186";"89";"24";"2021-10-15";"0"
"1";"281";"583";"649";"563";"508";"428";"315";"239";"107";"28";"2021-10-16";"0"
"0";"349";"614";"603";"524";"488";"405";"335";"218";"116";"20";"2021-10-17";"0"
"0";"333";"566";"498";"505";"452";"383";"296";"208";"99";"14";"2021-10-18";"0"
"0";"358";"614";"630";"574";"455";"519";"318";"257";"129";"41";"2021-10-19";"0"
"0";"388";"693";"721";"670";"607";"584";"418";"288";"159";"46";"2021-10-20";"0"
"0";"447";"780";"847";"758";"685";"615";"511";"335";"178";"39";"2021-10-21";"0"
"0";"473";"802";"986";"928";"822";"741";"475";"390";"201";"50";"2021-10-22";"0"
"1";"372";"758";"962";"917";"755";"706";"558";"384";"205";"58";"2021-10-23";"0"
"0";"464";"854";"1000";"971";"922";"780";"633";"423";"194";"49";"2021-10-24";"0"
"0";"416";"743";"798";"810";"779";"653";"545";"341";"166";"45";"2021-10-25";"0"
"0";"487";"721";"784";"957";"816";"691";"617";"450";"182";"42";"2021-10-26";"0"
"0";"551";"977";"1146";"1142";"992";"896";"683";"548";"258";"67";"2021-10-27";"0"
"0";"558";"978";"1126";"1250";"1139";"917";"731";"575";"312";"97";"2021-10-28";"0"
"1";"505";"826";"1195";"1201";"1017";"928";"776";"554";"294";"92";"2021-10-29";"0"
"0";"541";"951";"1313";"1231";"1073";"1028";"844";"573";"323";"65";"2021-10-30";"0"
"0";"601";"962";"1270";"1204";"1035";"1135";"904";"663";"322";"76";"2021-10-31";"0"
"0";"595";"935";"1081";"1162";"1081";"1076";"844";"555";"284";"81";"2021-11-01";"0"
"0";"563";"1029";"1071";"1159";"1048";"1097";"856";"564";"263";"77";"2021-11-02";"0"
"0";"731";"1254";"1299";"1377";"1200";"1225";"992";"636";"320";"75";"2021-11-03";"0"
"0";"768";"1372";"1512";"1484";"1412";"1386";"1056";"749";"377";"98";"2021-11-04";"0"
"0";"756";"1455";"1741";"1668";"1483";"1467";"1098";"780";"360";"103";"2021-11-05";"0"
"0";"849";"1509";"1854";"1901";"1644";"1575";"1252";"852";"408";"110";"2021-11-06";"0"
"0";"902";"1588";"1653";"1734";"1512";"1445";"1164";"835";"417";"99";"2021-11-07";"0"
"0";"1039";"1657";"1729";"1730";"1564";"1546";"1279";"817";"344";"99";"2021-11-08";"0"
"1";"1076";"1493";"1546";"1674";"1520";"1488";"1213";"793";"389";"89";"2021-11-09";"0"
"0";"1273";"1942";"1886";"1917";"1720";"1528";"1118";"717";"415";"132";"2021-11-10";"0"
"0";"1633";"2616";"2441";"2388";"2147";"1888";"1538";"1039";"481";"116";"2021-11-11";"0"
"1";"1468";"2469";"2291";"2501";"2173";"2037";"1580";"1053";"512";"119";"2021-11-12";"0"
