"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",455517,51.4,20425,57.3
"Ja, setting niet vermeld",31644,3.6,142,0.4
"Ja, setting onbekend",2110,0.2,43,0.1
"Nee",276931,31.2,7548,21.2
"Niet vermeld",120602,13.6,7477,21
