"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",401764,49.4,29754,60.2
"Ja, setting niet vermeld",31327,3.9,176,0.4
"Ja, setting onbekend",1991,0.2,66,0.1
"Nee",256949,31.6,11022,22.3
"Niet vermeld",121038,14.9,8380,17
