"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",309098,62.8,14277,57.9
"Ja, setting niet vermeld",1876,0.4,164,0.7
"Ja, setting onbekend",586,0.1,28,0.1
"Nee",132575,26.9,4985,20.2
"Niet vermeld",47887,9.7,5214,21.1
