"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",441836,63.5,25191,54.8
"Ja, setting niet vermeld",2639,0.4,172,0.4
"Ja, setting onbekend",800,0.1,36,0.1
"Nee",185117,26.6,10802,23.5
"Niet vermeld",65341,9.4,9804,21.3
