"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",387207,63.4,17358,54.3
"Ja, setting niet vermeld",2381,0.4,209,0.7
"Ja, setting onbekend",721,0.1,32,0.1
"Nee",161986,26.5,7124,22.3
"Niet vermeld",58268,9.5,7236,22.6
