"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",346013,63.3,16565,55.3
"Ja, setting niet vermeld",2061,0.4,172,0.6
"Ja, setting onbekend",654,0.1,45,0.2
"Nee",145610,26.6,6153,20.5
"Niet vermeld",52618,9.6,7042,23.5
