"setting","aantal.31-9","perc.31-9","aantal.this.week","perc.this.week"
"Ja, setting vermeld",366523,63.3,17374,54.3
"Ja, setting niet vermeld",2206,0.4,190,0.6
"Ja, setting onbekend",700,0.1,55,0.2
"Nee",153626,26.5,6846,21.4
"Niet vermeld",55737,9.6,7519,23.5
