Provincie_naam;Provincie_getal;Prov_inwoners
Drenthe;1;494402
Flevoland;2;426968
Friesland;3;650910
Gelderland;4;2094520
Groningen;5;586012
Limburg;6;1115851
Noord-Brabant;7;2572657
Noord-Holland;8;2886531
Overijssel;9;1162663
Utrecht;10;1360757
Zeeland;11;384916
Zuid-Holland;12;3722356
